Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
3replicas_scenario7_1500rps,3,3_iBench_CPU_pods,1500,1495.4,78.33,68.0,83.0,112.0,199.0,2840.0
3replicas_scenario7_2000rps,3,3_iBench_CPU_pods,2000,1963.6,677.88,631.0,900.0,1190.0,1810.0,3700.0
3replicas_scenario7_2500rps,3,3_iBench_CPU_pods,2500,2493.97,82.7,73.0,88.0,118.0,215.0,2320.0
3replicas_scenario8_500rps,3,4_iBench_CPU_pods,500,496.67,82.24,66.0,81.0,128.0,330.0,776.0
3replicas_scenario8_1000rps,3,4_iBench_CPU_pods,1000,980.04,669.58,546.0,910.0,1310.0,2130.0,3290.0
3replicas_scenario8_1500rps,3,4_iBench_CPU_pods,1500,1495.55,73.56,69.0,79.0,97.0,141.0,2070.0
3replicas_scenario8_2000rps,3,4_iBench_CPU_pods,2000,1963.26,721.8,598.0,990.0,1370.0,2210.0,4080.0
3replicas_scenario8_2500rps,3,4_iBench_CPU_pods,2500,2455.0,318.49,259.0,412.0,599.0,1050.0,3720.0
3replicas_scenario9_500rps,3,1_stress-ng_l3_pod,500,496.66,88.63,68.0,94.0,142.0,354.0,2760.0
3replicas_scenario9_1000rps,3,1_stress-ng_l3_pod,1000,979.99,583.52,455.0,755.0,1140.0,2130.0,3840.0
3replicas_scenario9_1500rps,3,1_stress-ng_l3_pod,1500,1495.39,84.71,71.0,90.0,129.0,243.0,2320.0
3replicas_scenario9_2000rps,3,1_stress-ng_l3_pod,2000,1963.36,711.72,626.0,980.0,1350.0,2090.0,5640.0
3replicas_scenario9_2500rps,3,1_stress-ng_l3_pod,2500,2455.98,485.25,401.0,636.0,940.0,1550.0,4590.0
3replicas_scenario10_500rps,3,2_stress-ng_l3_pods,500,496.66,99.14,74.0,120.0,159.0,322.0,3520.0
3replicas_scenario10_1000rps,3,2_stress-ng_l3_pods,1000,980.01,399.35,321.0,497.0,763.0,1460.0,3070.0
3replicas_scenario10_1500rps,3,2_stress-ng_l3_pods,1500,1495.54,72.3,67.0,77.0,95.0,159.0,2060.0
